code,year,month,temp_min_abs
C038,2016,7,12.7
C038,2016,8,14.1
C038,2016,9,13.1
C038,2016,10,7.6
C038,2016,11,5.7
C038,2016,12,1.5
C033,2016,1,0.3
C033,2016,2,-2.3
C033,2016,3,0.6
C033,2016,4,0.4
C033,2016,5,2.6
C033,2016,6,9.6
C033,2016,7,8.8
C033,2016,8,10.1
C033,2016,9,10.4
C033,2016,10,3.7
C033,2016,11,2.9
C033,2016,12,-0.1
C0BD,2016,1,0.6
C0BD,2016,2,-1.4
C0BD,2016,3,-0.4
C0BD,2016,4,0.2
C0BD,2016,5,1.5
C0BD,2016,6,8.4
C0BD,2016,7,8.3
C0BD,2016,8,9.7
C0BD,2016,9,9.1
C0BD,2016,10,2.6
C0BD,2016,11,1.1
C0BD,2016,12,-1.3
C036,2016,1,1.6
C036,2016,2,-1.3
C036,2016,3,1.7
C036,2016,4,1.8
C036,2016,5,3.2
C036,2016,6,10.4
C036,2016,7,10.3
C036,2016,8,11.4
C036,2016,9,11.2
C036,2016,10,4.3
C036,2016,11,3.2
C036,2016,12,0.2
C045,2016,1,1.8
C045,2016,2,-2.6
C045,2016,3,1.0
C045,2016,4,0.9
C045,2016,5,4.1
C045,2016,6,8.4
C045,2016,7,10.6
C045,2016,8,11.9
C045,2016,9,9.2
C045,2016,10,7.1
C045,2016,11,1.3
C045,2016,12,0.1
C0B7,2016,1,0.6
C0B7,2016,2,-1.5
C0B7,2016,3,2.3
C0B7,2016,4,1.5
C0B7,2016,5,2.6
C0B7,2016,6,9.7
C0B7,2016,7,9.3
C0B7,2016,8,10.4
C0B7,2016,9,10.0
C0B7,2016,10,3.5
C0B7,2016,11,1.2
C0B7,2016,12,-2.1
C019,2016,1,3.6
C019,2016,2,1.6
C019,2016,3,3.0
C019,2016,4,4.4
C019,2016,5,6.3
C019,2016,6,10.1
C019,2016,7,13.0
C019,2016,8,13.9
C019,2016,9,11.7
C019,2016,10,8.5
C019,2016,11,3.8
C019,2016,12,3.5
C057,2016,1,1.5
C057,2016,2,-0.3
C057,2016,3,3.7
C057,2016,4,1.9
C057,2016,5,3.3
C057,2016,6,11.1
C057,2016,7,10.8
C057,2016,8,12.4
C057,2016,9,11.4
C057,2016,10,4.7
C057,2016,11,3.1
C057,2016,12,1.3
C063,2016,1,-0.8
C063,2016,2,-2.2
C063,2016,3,-1.2
C063,2016,4,-0.5
C063,2016,5,1.2
C063,2016,6,8.5
C063,2016,7,9.1
C063,2016,8,10.3
C063,2016,9,9.7
C063,2016,10,3.7
C063,2016,11,1.1
C063,2016,12,0.2
C046,2016,1,-0.9
C046,2016,2,-3.9
C046,2016,3,-1.3
C046,2016,4,0.0
C046,2016,5,1.3
C046,2016,6,6.2
C046,2016,7,8.2
C046,2016,8,8.8
C046,2016,9,6.9
C046,2016,10,3.9
C046,2016,11,0.1
C046,2016,12,1.9
C0BA,2016,1,3.1
C0BA,2016,2,-0.2
C0BA,2016,3,1.6
