code,year,month,temp_max_abs
C0DD,2016,6,35.7
C0DD,2016,7,38.4
C0DD,2016,8,37.0
C0DD,2016,9,36.7
C0DD,2016,10,23.6
C0DD,2016,11,20.4
C0DD,2016,12,18.1
C0E9,2016,1,21.3
C0E9,2016,2,21.8
C0E9,2016,3,25.3
C0E9,2016,4,24.3
C0E9,2016,5,31.2
C0E9,2016,6,37.2
C0E9,2016,7,39.3
C0E9,2016,8,37.9
C0E9,2016,9,38.0
C0E9,2016,10,28.0
C0E9,2016,11,22.0
C0E9,2016,12,18.4
C078,2016,1,20.8
C078,2016,2,18.2
C078,2016,3,23.3
C078,2016,4,21.7
C078,2016,5,28.1
C078,2016,6,34.6
C078,2016,7,37.9
C078,2016,8,36.9
C078,2016,9,38.2
C078,2016,10,24.0
C078,2016,11,23.3
C078,2016,12,18.8
C052,2016,1,18.6
C052,2016,2,18.4
C052,2016,3,21.8
C052,2016,4,21.4
C052,2016,5,27.6
C052,2016,6,33.4
C052,2016,7,36.1
C052,2016,8,34.5
C052,2016,9,34.2
C052,2016,10,25.2
C052,2016,11,21.2
C052,2016,12,17.2
C0E1,2016,1,20.1
C0E1,2016,2,20.1
C0E1,2016,3,23.7
C0E1,2016,4,22.5
C0E1,2016,5,29.4
C0E1,2016,6,35.5
C0E1,2016,7,38.2
C0E1,2016,8,37.3
C0E1,2016,9,37.9
C0E1,2016,10,27.5
C0E1,2016,11,21.4
C0E1,2016,12,19.6
C077,2016,1,19.7
C077,2016,2,20.2
C077,2016,3,24.3
C077,2016,4,23.3
C077,2016,5,33.0
C077,2016,6,35.6
C077,2016,7,37.6
C077,2016,8,36.2
C077,2016,9,36.3
C077,2016,10,25.7
C077,2016,11,22.5
C077,2016,12,19.5
C080,2016,1,20.3
C080,2016,2,21.8
C080,2016,3,24.4
C080,2016,4,22.8
C080,2016,5,30.8
C080,2016,6,35.8
C080,2016,7,37.6
C080,2016,8,36.5
C080,2016,9,36.1
C080,2016,10,26.5
C080,2016,11,21.8
C080,2016,12,19.9
C0E8,2016,1,19.0
C0E8,2016,2,19.7
C0E8,2016,3,23.9
C0E8,2016,4,21.6
C0E8,2016,5,29.9
C0E8,2016,6,35.7
C0E8,2016,7,38.3
C0E8,2016,8,36.7
C0E8,2016,9,37.4
C0E8,2016,10,27.4
C0E8,2016,11,24.4
C0E8,2016,12,20.4
C023,2016,1,20.7
C023,2016,2,20.8
C023,2016,3,23.1
C023,2016,4,22.1
C023,2016,5,29.5
C023,2016,6,34.8
C023,2016,7,39.2
C023,2016,8,39.0
C023,2016,9,39.0
C023,2016,10,28.4
C023,2016,11,23.7
C023,2016,12,19.7
C084,2016,1,22.4
C084,2016,2,20.0
C084,2016,3,24.6
C084,2016,4,24.0
C084,2016,5,29.1
C084,2016,6,34.6
C084,2016,7,39.3
C084,2016,8,35.7
C084,2016,9,37.4
C084,2016,10,25.7
C084,2016,11,22.2
C084,2016,12,20.1
C0EA,2016,1,19.1
C0EA,2016,2,20.7
C0EA,2016,3,23.9
C0EA,2016,4,21.0
C0EA,2016,5,31.0
C0EA,2016,6,37.2
C0EA,2016,7,39.7
C0EA,2016,8,37.6
C0EA,2016,9,38.6
C0EA,2016,10,27.9
C0EA,2016,11,22.4
C0EA,2016,12,19.7
C026,2016,1,18.7
C026,2016,2,17.9
C026,2016,3,21.5
C026,2016,4,21.4
C026,2016,5,27.4
C026,2016,6,34.9
C026,2016,7,36.4
C026,2016,8,35.2
C026,2016,9,34.8
C026,2016,10,28.8
C026,2016,11,21.4
C026,2016,12,18.6
C058,2016,1,17.9
C058,2016,2,18.8
C058,2016,3,20.8
C058,2016,4,20.5
C058,2016,5,26.7
C058,2016,6,32.5
C058,2016,7,35.0
C058,2016,8,35.2
C058,2016,9,36.3
C058,2016,10,26.0
C058,2016,11,23.3
C058,2016,12,20.6
C0F0,2016,1,20.2
C0F0,2016,2,18.8
C0F0,2016,3,25.1
C0F0,2016,4,23.6
C0F0,2016,5,30.2
C0F0,2016,6,33.8
C0F0,2016,7,34.5
C0F0,2016,8,34.3
C0F0,2016,9,33.0
C0F0,2016,10,24.0
C0F0,2016,11,17.8
C0F0,2016,12,19.8
C0E7,2016,1,20.1
C0E7,2016,2,20.4
C0E7,2016,3,23.5
C0E7,2016,4,24.5
C0E7,2016,5,29.5
C0E7,2016,6,36.1
C0E7,2016,7,38.1
C0E7,2016,8,38.2
C0E7,2016,9,38.2
C0E7,2016,10,27.9
C0E7,2016,11,22.3
C0E7,2016,12,19.4
C018,2016,1,24.3
C018,2016,2,19.4
C018,2016,3,25.5
C018,2016,4,24.2
C018,2016,5,29.4
C018,2016,6,30.7
C018,2016,7,34.7
C018,2016,8,31.4
C018,2016,9,32.3
C018,2016,10,24.5
C018,2016,11,19.0
C018,2016,12,20.0
C0DC,2016,1,22.4
C0DC,2016,2,22.1
C0DC,2016,3,25.0
C0DC,2016,4,23.4
C0DC,2016,5,32.0
C0DC,2016,6,38.2
C0DC,2016,7,40.3
C0DC,2016,8,39.4
C0DC,2016,9,39.5
C0DC,2016,10,29.7
C0DC,2016,11,24.5
C0DC,2016,12,22.1
C071,2016,1,18.4
C071,2016,2,17.6
C071,2016,3,21.6
C071,2016,4,20.5
C071,2016,5,26.3
C071,2016,6,33.7
C071,2016,7,35.4
C071,2016,8,33.1
C071,2016,9,34.6
C071,2016,10,24.8
C071,2016,11,22.2
C071,2016,12,18.3
C0EC,2016,1,20.6
C0EC,2016,2,20.8
C0EC,2016,3,24.0
C0EC,2016,4,23.1
C0EC,2016,5,29.4
C0EC,2016,6,36.7
C0EC,2016,7,38.5
C0EC,2016,8,37.1
C0EC,2016,9,37.1
C0EC,2016,10,26.6
C0EC,2016,11,22.6
C0EC,2016,12,20.0
C0DE,2016,1,20.9
C0DE,2016,2,20.0
C0DE,2016,3,24.4
C0DE,2016,4,24.4
C0DE,2016,5,31.2
C0DE,2016,6,36.2
C0DE,2016,7,38.8
C0DE,2016,8,36.3
C0DE,2016,9,36.2
C0DE,2016,10,26.2
C0DE,2016,11,21.9
C0DE,2016,12,19.3
C017,2016,1,21.4
C017,2016,2,19.0
C017,2016,3,24.6
C017,2016,4,23.8
C017,2016,5,29.3
C017,2016,6,36.4
C017,2016,7,39.7
C017,2016,8,37.6
C017,2016,9,38.4
C017,2016,10,26.8
C017,2016,11,23.6
C017,2016,12,21.1
C0F4,2016,1,22.2
C0F4,2016,2,19.4
C0F4,2016,3,25.1
C0F4,2016,4,23.2
C0F4,2016,5,28.5
C0F4,2016,6,36.4
C0F4,2016,7,38.8
C0F4,2016,8,36.2
C0F4,2016,9,37.6
C0F4,2016,10,25.8
C0F4,2016,11,24.9
C0F4,2016,12,21.3
C0D1,2016,1,20.1
C0D1,2016,2,20.0
C0D1,2016,3,22.7
C0D1,2016,4,23.0
C0D1,2016,5,30.0
C0D1,2016,6,35.5
C0D1,2016,7,38.4
C0D1,2016,8,37.1
C0D1,2016,9,38.3
C0D1,2016,10,27.6
C0D1,2016,11,22.7
C0D1,2016,12,18.8
C043,2016,1,20.7
C043,2016,2,20.6
C043,2016,3,24.7
C043,2016,4,23.1
C043,2016,5,30.4
C043,2016,6,36.0
C043,2016,7,39.1
C043,2016,8,37.1
C043,2016,9,38.9
C043,2016,10,28.1
C043,2016,11,22.5
C043,2016,12,21.0
C0D2,2016,1,19.8
C0D2,2016,2,20.7
C0D2,2016,3,23.2
C0D2,2016,4,23.1
C0D2,2016,5,29.9
C0D2,2016,6,36.2
C0D2,2016,7,39.7
C0D2,2016,8,38.3
C0D2,2016,9,38.6
