code,year,month,lam_agua_nivel_medio
C0DC,2016,1,0.190
C0DC,2016,2,0.382
C0DC,2016,3,0.445
C0DC,2016,4,0.335
C0DC,2016,5,0.197
C0DC,2016,6,0.174
C0DC,2016,7,0.154
C0DC,2016,8,0.141
C0DC,2016,9,0.155
C0DC,2016,10,0.132
C0DC,2016,11,0.226
C0DC,2016,12,0.157
C0EC,2016,1,0.609
C0EC,2016,2,0.959
C0EC,2016,3,1.047
C0EC,2016,4,0.746
C0EC,2016,5,0.492
C0EC,2016,6,0.453
C0EC,2016,7,0.389
C0EC,2016,8,0.341
C0EC,2016,9,0.373
C0EC,2016,10,0.346
C0EC,2016,11,0.658
C0EC,2016,12,0.423
C0DE,2016,1,0.139
C0DE,2016,2,0.273
C0DE,2016,3,0.273
C0DE,2016,4,0.213
C0DE,2016,5,0.123
C0DE,2016,6,0.090
C0DE,2016,7,0.077
C0DE,2016,8,0.067
C0DE,2016,9,0.077
C0DE,2016,10,0.064
C0DE,2016,11,0.154
C0DE,2016,12,0.087
C0F4,2016,1,0.295
C0F4,2016,2,0.465
C0F4,2016,3,0.451
C0F4,2016,4,0.323
C0F4,2016,5,0.241
C0F4,2016,6,0.250
C0F4,2016,7,0.181
C0F4,2016,8,0.131
C0F4,2016,9,0.193
C0F4,2016,10,0.168
C0F4,2016,11,0.411
C0F4,2016,12,0.225
C0D1,2016,1,0.377
C0D1,2016,2,0.587
C0D1,2016,3,0.666
C0D1,2016,4,0.433
C0D1,2016,5,0.232
C0D1,2016,6,0.192
C0D1,2016,7,0.164
C0D1,2016,8,0.118
C0D1,2016,9,0.180
C0D1,2016,10,0.152
C0D1,2016,11,0.343
C0D1,2016,12,0.205
C0D2,2016,1,0.410
C0D2,2016,2,0.667
C0D2,2016,3,0.766
C0D2,2016,4,0.524
C0D2,2016,5,0.342
C0D2,2016,6,0.282
C0D2,2016,7,0.241
C0D2,2016,8,0.209
C0D2,2016,9,0.227
C0D2,2016,10,0.214
C0D2,2016,11,0.356
C0D2,2016,12,0.261
C0D0,2016,1,0.149
C0D0,2016,2,0.219
C0D0,2016,3,0.253
C0D0,2016,4,0.156
C0D0,2016,5,0.073
C0D0,2016,6,0.071
C0D0,2016,7,0.060
C0D0,2016,8,0.043
C0D0,2016,9,0.058
C0D0,2016,10,0.036
C0D0,2016,11,0.147
C0D0,2016,12,0.071
C076,2017,1,0.156
C076,2017,2,0.129
C076,2017,3,0.070
C076,2017,4,0.059
C076,2017,5,0.050
C076,2017,6,0.057
C076,2017,7,0.057
C076,2017,8,0.054
C076,2017,9,0.052
C076,2017,10,0.044
C076,2017,11,0.043
C076,2017,12,0.129
C0A4,2017,3,0.317
C0A4,2017,4,0.269
C0A4,2017,5,0.189
C0A4,2017,6,0.145
C0A4,2017,7,0.114
C0A4,2017,8,0.100
C0A4,2017,9,0.101
C0A4,2017,10,0.090
C0A4,2017,11,0.138
C0A4,2017,12,0.318
C056,2017,1,0.400
C056,2017,2,0.459
C056,2017,3,0.306
C056,2017,4,0.252
C056,2017,5,0.525
C056,2017,6,0.414
C056,2017,7,0.388
C056,2017,8,0.316
C056,2017,9,0.478
C056,2017,10,0.083
C056,2017,11,0.120
C056,2017,12,0.381
C0A3,2017,1,0.623
C0A3,2017,2,0.656
C0A3,2017,3,0.547
C0A3,2017,4,0.503
C0A3,2017,5,0.438
C0A3,2017,6,0.419
C0A3,2017,7,0.416
C0A3,2017,8,0.410
C0A3,2017,9,0.408
C0A3,2017,10,0.428
C0A3,2017,11,0.464
C0A3,2017,12,0.670
C0A2,2017,1,0.360
C0A2,2017,2,0.385
C0A2,2017,3,0.284
C0A2,2017,4,0.208
C0A2,2017,6,0.107
C0A2,2017,7,0.092
C0A2,2017,8,0.039
C0A2,2017,9,0.095
C0A2,2017,10,0.052
C0A2,2017,11,0.200
C0A2,2017,12,0.413
C0AA,2017,1,0.469
C0AA,2017,2,0.512
C0AA,2017,3,0.359
C0AA,2017,4,0.271
C0AA,2017,5,0.156
C0AA,2017,6,0.141
C0AA,2017,7,0.109
C0AA,2017,8,0.054
C0AA,2017,9,0.086
C0AA,2017,10,0.073
C0AA,2017,11,0.135
C0AA,2017,12,0.539
C067,2017,1,0.360
C067,2017,2,0.281
C067,2017,3,0.278
C067,2017,4,0.213
C067,2017,5,0.167
C067,2017,6,0.177
C067,2017,7,0.142
C067,2017,8,0.086
C067,2017,9,0.089
C067,2017,10,0.078
C067,2017,11,0.196
C067,2017,12,0.497
C055,2017,1,0.490
C055,2017,2,0.395
C055,2017,3,0.411
C055,2017,4,0.365
C055,2017,5,0.313
C055,2017,6,0.206
C055,2017,7,0.017
C055,2017,9,0.015
C055,2017,10,0.025
C055,2017,11,0.072
C055,2017,12,0.300
C0A1,2017,1,0.177
C0A1,2017,2,0.188
C0A1,2017,3,0.191
C0A1,2017,4,0.209
C0A1,2017,5,0.208
C0A1,2017,6,0.199
C0A1,2017,7,0.171
C0A1,2017,8,0.167
C0A1,2017,9,0.164
C0A1,2017,10,0.157
C0A1,2017,11,0.148
C0A1,2017,12,0.164
C051,2017,1,0.295
C051,2017,2,0.218
C051,2017,3,0.198
C051,2017,4,0.178
C051,2017,5,0.144
C051,2017,6,0.140
C051,2017,7,0.100
C051,2017,8,0.078
C051,2017,9,0.060
C051,2017,10,0.070
C051,2017,11,0.161
C051,2017,12,0.356
C0A0,2017,1,0.350
C0A0,2017,2,0.281
C0A0,2017,3,0.243
C0A0,2017,4,0.193
C0A0,2017,5,0.172
C0A0,2017,6,0.135
C0A0,2017,7,0.103
C0A0,2017,8,0.065
C0A0,2017,9,0.092
C0A0,2017,10,0.041
C0A0,2017,11,0.176
C0A0,2017,12,0.327
C0B1,2017,1,0.778
C0B1,2017,2,0.514
C0B1,2017,3,0.434
C0B1,2017,4,0.338
C0B1,2017,5,0.221
C0B1,2017,6,0.179
C0B1,2017,7,0.156
C0B1,2017,8,0.090
C0B1,2017,9,0.178
C0B1,2017,10,0.085
C0B1,2017,11,0.422
C0B1,2017,12,1.050
C079,2017,1,0.617
C079,2017,2,0.496
C079,2017,3,0.484
C079,2017,4,0.396
C079,2017,5,0.333
C079,2017,6,0.298
C079,2017,7,0.299
C079,2017,8,0.265
C079,2017,9,0.334
C079,2017,10,0.251
C079,2017,11,0.465
C079,2017,12,0.812
C0C1,2017,1,0.811
C0C1,2017,2,0.688
C0C1,2017,3,0.593
C0C1,2017,4,0.555
C0C1,2017,5,0.488
C0C1,2017,6,0.462
C0C1,2017,7,0.414
C0C1,2017,8,0.362
C0C1,2017,9,0.395
C0C1,2017,10,0.405
C0C1,2017,11,0.578
C0C1,2017,12,1.222
C032,2017,1,0.368
C032,2017,2,0.304
C032,2017,3,0.303
C032,2017,4,0.279
C032,2017,5,0.260
C032,2017,6,0.254
C032,2017,7,0.239
C032,2017,8,0.226
C032,2017,9,0.235
C032,2017,10,0.227
C032,2017,11,0.284
C032,2017,12,0.413
C0C2,2017,1,0.401
C0C2,2017,2,0.328
C0C2,2017,3,0.307
C0C2,2017,4,0.292
C0C2,2017,5,0.273
C0C2,2017,6,0.269
C0C2,2017,7,0.262
C0C2,2017,8,0.252
C0C2,2017,9,0.254
C0C2,2017,10,0.247
C0C2,2017,11,0.289
C0C2,2017,12,0.492
C0BE,2017,1,0.368
C0BE,2017,2,0.299
C0BE,2017,3,0.323
C0BE,2017,4,0.226
C0BE,2017,5,0.193
C0BE,2017,6,0.172
C0BE,2017,7,0.146
C0BE,2017,8,0.139
C0BE,2017,9,0.205
C0BE,2017,10,0.144
C0BE,2017,11,0.320
C0BE,2017,12,0.556
C074,2017,1,0.245
C074,2017,2,0.214
C074,2017,3,0.214
C074,2017,4,0.164
C074,2017,5,0.132
C074,2017,6,0.120
C074,2017,7,0.116
C074,2017,8,0.090
C074,2017,9,0.105
C074,2017,10,0.089
C074,2017,11,0.166
C074,2017,12,0.321
C009,2017,11,0.870
C009,2017,12,1.690
C0BD,2017,1,0.277
C0BD,2017,2,0.248
C0BD,2017,3,0.250
C0BD,2017,4,0.187
C0BD,2017,5,0.164
C0BD,2017,6,0.147
C0BD,2017,7,0.130
C0BD,2017,8,0.111
C0BD,2017,9,0.161
C0BD,2017,10,0.114
C0BD,2017,11,0.239
C0BD,2017,12,0.395
C0B7,2017,1,0.338
C0B7,2017,2,0.257
C0B7,2017,3,0.251
C0B7,2017,4,0.202
C0B7,2017,5,0.172
C0B7,2017,6,0.146
C0B7,2017,7,0.157
C0B7,2017,8,0.137
C0B7,2017,9,0.190
C0B7,2017,10,0.111
C0B7,2017,11,0.261
C0B7,2017,12,0.424
C057,2017,1,0.976
C057,2017,2,0.677
C057,2017,3,0.774
C057,2017,4,0.509
C057,2017,5,0.419
C057,2017,6,0.372
C057,2017,7,0.350
C057,2017,8,0.319
C057,2017,9,0.585
C057,2017,10,0.384
C057,2017,11,0.799
C057,2017,12,1.493
C063,2017,1,0.318
C063,2017,2,0.263
C063,2017,3,0.263
C063,2017,4,0.206
C063,2017,5,0.169
C063,2017,6,0.151
C063,2017,7,0.135
C063,2017,8,0.119
C063,2017,9,0.157
C063,2017,10,0.121
C063,2017,11,0.227
C063,2017,12,0.470
C0BA,2017,1,0.355
C0BA,2017,2,0.257
C0BA,2017,3,0.300
C0BA,2017,4,0.205
C0BA,2017,5,0.177
C0BA,2017,6,0.151
C0BA,2017,7,0.137
C0BA,2017,8,0.130
C0BA,2017,9,0.218
C0BA,2017,10,0.147
C0BA,2017,11,0.305
C0BA,2017,12,0.512
C0B4,2017,1,0.273
C0B4,2017,2,0.130
C0B4,2017,3,0.121
C0B4,2017,4,0.082
C0B4,2017,5,0.048
C0B4,2017,6,0.043
C0B4,2017,7,0.034
C0B4,2017,8,0.012
C0B4,2017,9,0.020
C0B4,2017,10,0.014
C0B4,2017,11,0.074
C0B4,2017,12,0.305
C054,2017,1,0.485
C054,2017,2,0.315
C054,2017,3,0.296
C054,2017,4,0.219
C054,2017,5,0.150
C054,2017,6,0.093
C054,2017,7,0.080
C054,2017,8,0.043
C054,2017,9,0.086
C054,2017,10,0.044
C054,2017,11,0.261
C054,2017,12,0.556
C0B9,2017,1,0.653
C0B9,2017,2,0.530
C0B9,2017,3,0.552
C0B9,2017,4,0.486
C0B9,2017,5,0.411
C0B9,2017,6,0.392
C0B9,2017,7,0.384
C0B9,2017,8,0.372
C0B9,2017,9,0.459
C0B9,2017,10,0.381
C0B9,2017,11,0.588
C0B9,2017,12,0.870
C0C4,2017,1,0.495
C0C4,2017,2,0.413
C0C4,2017,3,0.372
C0C4,2017,4,0.349
C0C4,2017,5,0.342
C0C4,2017,6,0.327
C0C4,2017,7,0.290
C0C4,2017,8,0.268
C0C4,2017,9,0.270
C0C4,2017,10,0.252
C0C4,2017,11,0.329
C0C4,2017,12,0.610
C0B3,2017,1,0.631
C0B3,2017,2,0.493
C0B3,2017,3,0.315
C0B3,2017,4,0.307
C0B3,2017,5,0.216
C0B3,2017,6,0.201
C0B3,2017,7,0.221
C0B3,2017,8,0.173
C0B3,2017,9,0.203
C0B3,2017,10,0.176
C0B3,2017,11,0.342
C0B3,2017,12,0.777
C0E5,2017,1,0.388
C0E5,2017,2,0.348
C0E5,2017,3,0.327
C0E5,2017,4,0.232
C0E5,2017,5,0.168
C0E5,2017,6,0.185
C0E5,2017,7,0.158
C0E5,2017,8,0.147
C0E5,2017,9,0.172
C0E5,2017,10,0.159
C0E5,2017,11,0.312
C0E5,2017,12,0.488
C0DB,2017,1,0.326
C0DB,2017,2,0.282
C0DB,2017,3,0.262
C0DB,2017,4,0.198
C0DB,2017,5,0.129
C0DB,2017,6,0.126
C0DB,2017,7,0.125
C0DB,2017,8,0.100
C0DB,2017,9,0.130
C0DB,2017,10,0.111
C0DB,2017,11,0.234
C0DB,2017,12,0.448
