code,year,month,viento_velocidad_racha_maxima
C018,2016,7,68.0
C018,2016,8,74.2
C018,2016,9,90.7
C018,2016,10,59.4
C018,2016,11,84.3
C018,2016,12,52.2
C071,2016,1,107.6
C071,2016,2,121.3
C071,2016,3,101.2
C071,2016,4,85.7
C071,2016,5,93.2
C071,2016,6,77.0
C071,2016,7,77.0
C071,2016,8,65.2
C071,2016,9,96.5
C071,2016,10,108.7
C071,2016,11,104.4
C071,2016,12,81.0
C0EC,2016,1,73.4
C0EC,2016,2,71.6
C0EC,2016,3,67.3
C0EC,2016,4,64.1
C0EC,2016,5,66.2
C0EC,2016,6,49.3
C0EC,2016,7,52.6
C0EC,2016,8,48.6
C0EC,2016,9,59.0
C0EC,2016,10,61.9
C0EC,2016,11,70.9
C0EC,2016,12,64.8
C017,2016,1,74.9
C017,2016,2,94.7
C017,2016,3,90.4
C017,2016,4,76.0
C017,2016,5,77.0
C017,2016,6,59.0
C017,2016,7,44.6
C017,2016,8,50.4
C017,2016,9,74.5
C017,2016,10,64.8
C017,2016,11,81.7
C017,2016,12,64.4
C043,2016,1,106.9
C043,2016,2,114.5
C043,2016,3,69.1
C043,2016,4,65.9
C043,2016,5,66.6
C043,2016,6,52.6
C043,2016,7,41.8
C043,2016,8,55.1
C043,2016,9,68.4
C043,2016,10,54.4
C043,2016,11,72.4
C043,2016,12,58.0
C007,2016,1,96.5
C007,2016,2,116.6
C007,2016,3,104.0
C007,2016,4,83.2
C007,2016,5,90.4
C007,2016,6,82.1
C007,2016,7,72.7
C007,2016,8,83.2
C007,2016,9,107.3
C007,2016,10,83.9
C007,2016,11,108.0
C064,2016,1,118.1
C064,2016,2,109.8
C064,2016,3,108.4
C064,2016,4,74.9
C064,2016,5,79.2
C064,2016,6,63.0
C064,2016,7,64.4
C064,2016,8,81.0
C064,2016,9,81.4
C064,2016,10,70.9
C064,2016,11,87.1
C064,2016,12,72.0
C028,2016,1,96.5
C028,2016,2,109.1
C028,2016,3,81.0
C028,2016,4,79.2
C028,2016,5,91.8
C028,2016,6,61.2
C028,2016,7,64.1
C028,2016,8,54.4
C028,2016,9,83.5
C028,2016,10,61.9
C028,2016,11,81.4
C028,2016,12,78.5
C029,2016,1,82.4
C029,2016,2,94.0
C029,2016,3,75.6
C029,2016,4,77.4
C029,2016,5,74.5
C029,2016,6,60.8
C029,2016,7,55.4
C029,2016,8,45.4
C029,2016,9,85.0
C029,2016,10,70.6
C029,2016,11,77.4
C029,2016,12,95.4
C056,2017,1,78.5
C056,2017,2,107.6
C056,2017,3,59.8
C056,2017,4,52.6
C056,2017,5,58.3
C056,2017,6,64.1
C056,2017,7,76.0
C056,2017,8,46.1
C056,2017,9,45.7
C056,2017,10,59.4
C056,2017,11,50.4
C056,2017,12,108.0
C035,2017,1,51.8
C035,2017,2,97.9
C035,2017,3,53.3
C035,2017,4,45.4
C035,2017,5,60.1
C035,2017,6,52.6
C035,2017,7,51.5
C035,2017,8,47.5
C035,2017,9,37.8
C035,2017,10,40.7
C035,2017,11,46.4
C035,2017,12,100.4
C016,2017,1,49.0
C016,2017,2,107.6
C016,2017,3,71.3
C016,2017,4,55.1
C016,2017,5,70.2
C016,2017,6,69.5
C016,2017,7,104.0
C016,2017,8,76.0
C016,2017,9,61.9
C016,2017,10,44.6
C016,2017,11,60.5
C016,2017,12,107.3
C025,2017,1,85.7
C025,2017,2,149.0
C025,2017,3,78.1
C025,2017,4,74.2
C025,2017,5,82.4
C025,2017,6,109.8
