code,year,month,precipitacion_acumulada
C019,2016,12,24.3
C057,2016,1,126.4
C057,2016,2,371
C057,2016,3,233.5
C057,2016,4,45.5
C057,2016,5,79.2
C057,2016,6,54.4
C057,2016,7,40
C057,2016,8,11.7
C057,2016,9,108.5
C057,2016,10,32.1
C057,2016,11,271.6
C057,2016,12,31.6
C063,2016,1,91.9
C063,2016,2,386.4
C063,2016,3,284.9
C063,2016,4,59.2
C063,2016,5,80.2
C063,2016,6,50.9
C063,2016,7,63.8
C063,2016,8,9.8
C063,2016,9,124.4
C063,2016,10,45.8
C063,2016,11,238.5
C063,2016,12,19.4
C046,2016,1,89.7
C046,2016,2,198.3
C046,2016,3,146.8
C046,2016,4,58.1
C046,2016,5,74.8
C046,2016,6,59
C046,2016,7,125
C046,2016,8,42.2
C046,2016,9,115.5
C046,2016,10,31.9
C046,2016,11,127.5
C046,2016,12,14.7
C0BA,2016,1,147.7
C0BA,2016,2,344.6
C0BA,2016,3,188
C0BA,2016,4,56.3
C0BA,2016,5,71.9
C0BA,2016,6,35.5
C0BA,2016,7,49.6
C0BA,2016,8,18
C0BA,2016,9,108.8
C0BA,2016,10,19.8
C0BA,2016,11,258.1
C0BA,2016,12,19.7
C059,2016,1,98.9
C059,2016,2,328.1
C059,2016,3,303.2
C059,2016,4,91.2
C059,2016,5,53.1
C059,2016,6,35.3
C059,2016,7,14.3
C059,2016,8,10.7
C059,2016,9,51.2
C059,2016,10,18
C059,2016,11,173.5
C059,2016,12,39.1
C072,2016,1,104.4
C072,2016,2,210.3
C072,2016,3,152.2
C072,2016,4,92.6
C072,2016,5,51.5
C072,2016,6,38.1
C072,2016,7,62.3
C072,2016,8,37.4
C072,2016,9,87.6
C072,2016,10,26.3
C072,2016,11,119.1
C072,2016,12,30.2
C0B4,2016,1,100.2
C0B4,2016,2,278.5
C0B4,2016,3,282
C0B4,2016,4,69.6
C0B4,2016,5,63.2
C0B4,2016,6,23.6
C0B4,2016,7,42.1
C0B4,2016,8,9.5
C0B4,2016,9,92.5
C0B4,2016,10,21.2
C0B4,2016,11,179.1
C0B4,2016,12,31.4
C054,2016,1,108.4
C054,2016,2,330.3
C054,2016,3,272.6
C054,2016,4,98
C054,2016,5,54.8
C054,2016,6,54.3
C054,2016,7,39.6
C054,2016,8,18.9
C054,2016,9,72.8
C054,2016,10,49.7
C054,2016,11,180.6
C054,2016,12,27.7
C042,2016,1,92.5
C042,2016,2,227.1
C042,2016,3,156.1
C042,2016,4,28.6
C042,2016,5,36.2
C042,2016,6,42.5
C042,2016,7,49
C042,2016,8,9.2
C042,2016,9,103.7
C042,2016,10,24.2
C042,2016,11,188.9
C042,2016,12,30.6
C0B9,2016,1,120.9
C0B9,2016,2,310.2
C0B9,2016,3,244.6
C0B9,2016,4,66.7
C0B9,2016,5,47.7
C0B9,2016,6,55.6
C0B9,2016,7,72.6
C0B9,2016,8,8.7
C0B9,2016,9,108.8
C0B9,2016,10,16.2
C0B9,2016,11,205.4
C0B9,2016,12,42.1
C0C3,2016,1,118.9
C0C3,2016,2,344.5
C0C3,2016,3,316.2
C0C3,2016,4,71.4
C0C3,2016,5,51.3
C0C3,2016,6,34.9
