code,year,month,temp_media
C063,2016,5,15.3
C063,2016,6,17.7
C063,2016,7,20.2
C063,2016,8,20.8
C063,2016,9,19.2
C063,2016,10,15.1
C063,2016,11,11.4
C063,2016,12,10.6
C046,2016,1,5.7
C046,2016,2,3.9
C046,2016,3,3.6
C046,2016,4,5.9
C046,2016,5,10.0
C046,2016,6,13.0
C046,2016,7,15.0
C046,2016,8,16.9
C046,2016,9,15.6
C046,2016,10,11.9
C046,2016,11,6.8
C046,2016,12,7.9
C0BA,2016,1,11.3
C0BA,2016,2,10.1
C0BA,2016,3,10.2
C0BA,2016,4,12.4
C0BA,2016,5,15.8
C0BA,2016,6,18.1
C0BA,2016,7,20.6
C0BA,2016,8,20.7
C0BA,2016,9,19.4
C0BA,2016,10,15.0
C0BA,2016,11,11.2
C0BA,2016,12,10.4
C059,2016,1,8.8
C059,2016,2,7.5
C059,2016,3,7.5
C059,2016,4,9.6
C059,2016,5,13.7
C059,2016,6,16.3
C059,2016,7,18.1
C059,2016,8,19.3
C059,2016,9,17.8
C059,2016,10,13.5
C059,2016,11,9.1
C059,2016,12,7.7
C072,2016,1,5.7
C072,2016,2,4.7
C072,2016,3,4.5
C072,2016,4,6.9
C072,2016,5,11.3
C072,2016,6,14.5
C072,2016,7,16.1
C072,2016,8,18.0
C072,2016,9,16.5
C072,2016,10,12.3
C072,2016,11,7.1
C072,2016,12,5.7
C0B4,2016,1,9.2
C0B4,2016,2,8.0
C0B4,2016,3,8.1
C0B4,2016,4,10.8
C0B4,2016,5,14.6
C0B4,2016,6,17.3
C0B4,2016,7,19.2
C0B4,2016,8,20.2
C0B4,2016,9,18.7
C0B4,2016,10,14.1
C0B4,2016,11,9.6
C0B4,2016,12,8.5
C054,2016,1,6.9
C054,2016,2,5.9
C054,2016,3,6.2
C054,2016,4,8.7
C054,2016,5,12.6
C054,2016,6,15.7
C054,2016,7,17.7
C054,2016,8,18.2
C054,2016,9,16.5
C054,2016,10,11.5
C054,2016,11,7.1
C054,2016,12,5.5
C042,2016,1,12.6
C042,2016,2,11.0
C042,2016,3,11.0
C042,2016,4,12.9
C042,2016,5,15.7
C042,2016,6,17.8
C042,2016,7,20.3
C042,2016,8,20.8
C042,2016,9,19.6
C042,2016,10,16.1
C042,2016,11,12.6
C042,2016,12,12.0
C0B9,2016,1,10.6
C0B9,2016,2,9.2
C0B9,2016,3,9.4
C0B9,2016,4,11.8
C0B9,2016,5,15.1
C0B9,2016,6,17.6
C0B9,2016,7,19.6
C0B9,2016,8,20.0
C0B9,2016,9,18.4
C0B9,2016,10,14.2
C0B9,2016,11,10.3
C0B9,2016,12,9.4
C0C3,2016,1,9.7
C0C3,2016,2,8.8
C0C3,2016,3,9.0
C0C3,2016,4,11.7
C0C3,2016,5,15.2
C0C3,2016,6,17.8
C0C3,2016,7,19.8
C0C3,2016,8,20.6
C0C3,2016,9,18.8
C0C3,2016,10,14.6
C0C3,2016,11,10.1
C0C3,2016,12,8.9
C066,2016,1,6.8
C066,2016,2,5.3
C066,2016,3,5.0
C066,2016,4,7.6
C066,2016,5,11.6
C066,2016,6,14.5
C066,2016,7,16.3
C066,2016,8,18.1
C066,2016,9,16.7
C066,2016,10,13.1
C066,2016,11,8.0
C066,2016,12,7.8
C022,2016,1,6.6
C022,2016,2,5.3
C022,2016,3,4.3
C022,2016,4,6.6
C022,2016,5,10.7
C022,2016,6,13.6
C022,2016,7,15.4
C022,2016,8,16.7
C022,2016,9,15.0
C022,2016,10,11.0
C022,2016,11,6.3
C022,2016,12,5.0
C0B3,2016,1,9.4
C0B3,2016,2,8.4
C0B3,2016,3,8.4
C0B3,2016,4,11.2
C0B3,2016,5,15.0
C0B3,2016,6,17.6
C0B3,2016,7,19.4
C0B3,2016,8,20.4
C0B3,2016,9,18.6
C0B3,2016,10,14.1
C0B3,2016,11,9.8
C0B3,2016,12,8.8
C037,2016,1,10.7
C037,2016,2,9.1
C037,2016,3,9.0
C037,2016,4,11.6
C037,2016,5,15.0
C037,2016,6,17.3
C037,2016,7,19.4
C037,2016,8,20.5
C037,2016,9,18.9
C037,2016,10,14.9
C037,2016,11,10.8
C037,2016,12,9.9
C0E5,2016,1,9.4
C0E5,2016,2,8.4
C0E5,2016,3,8.5
C0E5,2016,4,11.5
C0E5,2016,5,15.0
C0E5,2016,6,17.9
C0E5,2016,7,19.7
C0E5,2016,8,20.4
C0E5,2016,9,18.7
C0E5,2016,10,14.1
C0E5,2016,11,9.7
C0E5,2016,12,8.3
C0DB,2016,1,7.4
C0DB,2016,2,6.3
C0DB,2016,3,6.6
C0DB,2016,4,9.8
C0DB,2016,5,14.1
C0DB,2016,6,17.1
C0DB,2016,7,18.7
C0DB,2016,8,19.3
C0DB,2016,9,17.5
C0DB,2016,10,12.5
C0DB,2016,11,8.3
C0DB,2016,12,6.7
C0D3,2016,1,8.7
C0D3,2016,2,7.3
C0D3,2016,3,7.6
C0D3,2016,4,10.2
C0D3,2016,5,13.8
C0D3,2016,6,16.4
C0D3,2016,7,18.1
C0D3,2016,8,18.8
C0D3,2016,9,17.4
C0D3,2016,10,12.9
C0D3,2016,11,8.8
C0D3,2016,12,7.7
C0DD,2016,1,10.3
C0DD,2016,2,8.7
C0DD,2016,3,8.7
C0DD,2016,4,11.7
C0DD,2016,5,15.2
C0DD,2016,6,17.4
C0DD,2016,7,19.4
C0DD,2016,8,19.9
C0DD,2016,9,18.3
C0DD,2016,10,13.5
C0DD,2016,11,9.9
C0DD,2016,12,9.5
C0E9,2016,1,9.3
C0E9,2016,2,8.8
C0E9,2016,3,9.2
C0E9,2016,4,12.1
C0E9,2016,5,15.8
C0E9,2016,6,18.5
C0E9,2016,7,19.9
C0E9,2016,8,20.6
C0E9,2016,9,18.9
C0E9,2016,10,14.3
C0E9,2016,11,9.6
C0E9,2016,12,7.5
C078,2016,1,9.7
C078,2016,2,8.7
C078,2016,3,8.8
C078,2016,4,11.4
C078,2016,5,14.8
C078,2016,6,17.2
C078,2016,7,19.2
C078,2016,8,19.7
C078,2016,9,18.4
C078,2016,10,13.9
C078,2016,11,10.1
C078,2016,12,9.1
C052,2016,1,8.9
C052,2016,2,7.6
C052,2016,3,7.8
C052,2016,4,10.5
C052,2016,5,13.8
C052,2016,6,16.2
C052,2016,7,18.0
C052,2016,8,18.9
C052,2016,9,17.3
C052,2016,10,13.3
C052,2016,11,9.2
C052,2016,12,8.2
C0E1,2016,1,9.1
C0E1,2016,2,7.9
C0E1,2016,3,8.1
C0E1,2016,4,11.3
C0E1,2016,5,14.6
C0E1,2016,6,17.5
C0E1,2016,7,19.2
C0E1,2016,8,19.9
C0E1,2016,9,18.4
C0E1,2016,10,13.7
C0E1,2016,11,9.3
C0E1,2016,12,7.5
C077,2016,1,10.3
C077,2016,2,8.8
C077,2016,3,9.1
C077,2016,4,12.4
C077,2016,5,15.3
C077,2016,6,17.4
C077,2016,7,19.3
C077,2016,8,19.8
C077,2016,9,18.4
C077,2016,10,13.9
C077,2016,11,10.1
C077,2016,12,9.0
C080,2016,1,9.0
C080,2016,2,7.9
C080,2016,3,8.3
C080,2016,4,10.9
C080,2016,5,14.5
C080,2016,6,16.8
C080,2016,7,18.5
C080,2016,8,19.1
C080,2016,9,17.6
C080,2016,10,13.1
C080,2016,11,8.8
C080,2016,12,7.6
C0E8,2016,1,9.0
C0E8,2016,2,8.0
C0E8,2016,3,8.5
C0E8,2016,4,11.2
C0E8,2016,5,14.6
C0E8,2016,6,17.4
C0E8,2016,7,19.3
C0E8,2016,8,19.9
C0E8,2016,9,18.4
C0E8,2016,10,15.2
C0E8,2016,11,11.8
C0E8,2016,12,9.4
C023,2016,1,8.4
C023,2016,2,7.0
C023,2016,3,7.1
C023,2016,4,10.0
C023,2016,5,14.0
C023,2016,6,17.0
C023,2016,7,19.0
C023,2016,8,20.0
C023,2016,9,18.4
C023,2016,10,13.6
C023,2016,11,8.9
C023,2016,12,7.6
C084,2016,1,10.9
C084,2016,2,9.2
C084,2016,3,9.7
C084,2016,4,12.4
C084,2016,5,15.7
C084,2016,6,17.9
C084,2016,7,20.2
C084,2016,8,20.9
C084,2016,9,19.4
C084,2016,10,15.2
C084,2016,11,10.7
C084,2016,12,10.3
C0EA,2016,1,9.3
C0EA,2016,2,8.3
C0EA,2016,3,8.8
C0EA,2016,4,11.9
C0EA,2016,5,16.4
C0EA,2016,6,19.3
C0EA,2016,7,21.1
C0EA,2016,8,21.6
C0EA,2016,9,19.9
C0EA,2016,10,15.2
C0EA,2016,11,10.7
C0EA,2016,12,8.5
C026,2016,1,8.3
C026,2016,2,7.1
C026,2016,3,7.1
C026,2016,4,10.0
C026,2016,5,13.5
C026,2016,6,16.4
C026,2016,7,18.2
C026,2016,8,19.2
C026,2016,9,17.7
C026,2016,10,13.9
C026,2016,11,9.3
C026,2016,12,7.9
C058,2016,1,7.6
C058,2016,2,6.0
C058,2016,3,5.8
C058,2016,4,8.7
C058,2016,5,12.5
C058,2016,6,15.6
C058,2016,7,17.4
C058,2016,8,19.1
C058,2016,9,17.1
C058,2016,10,13.4
C058,2016,11,8.2
C058,2016,12,8.2
C0F0,2016,1,10.3
C0F0,2016,2,9.3
C0F0,2016,3,9.7
C0F0,2016,4,12.1
C0F0,2016,5,15.6
C0F0,2016,6,17.9
C0F0,2016,7,19.6
C0F0,2016,8,20.1
C0F0,2016,9,18.4
C0F0,2016,10,13.9
C0F0,2016,11,9.7
C0F0,2016,12,8.6
C0E7,2016,1,9.2
C0E7,2016,2,8.1
C0E7,2016,3,8.6
C0E7,2016,4,11.7
C0E7,2016,5,15.3
C0E7,2016,6,18.4
C0E7,2016,7,20.2
C0E7,2016,8,21.1
C0E7,2016,9,19.3
C0E7,2016,10,14.5
C0E7,2016,11,9.7
C0E7,2016,12,8.1
C018,2016,1,13.2
C018,2016,2,10.9
C018,2016,3,11.0
C018,2016,4,13.4
C018,2016,5,16.4
C018,2016,6,18.5
C018,2016,7,21.1
C018,2016,8,21.6
C018,2016,9,20.4
C018,2016,10,16.5
C018,2016,11,12.2
C018,2016,12,12.3
C0DC,2016,1,10.8
C0DC,2016,2,9.7
C0DC,2016,3,10.0
C0DC,2016,4,12.9
C0DC,2016,5,16.7
C0DC,2016,6,19.3
C0DC,2016,7,21.2
C0DC,2016,8,21.8
C0DC,2016,9,20.2
C0DC,2016,10,15.5
C0DC,2016,11,11.1
C0DC,2016,12,9.9
C071,2016,1,9.2
C071,2016,2,7.3
C071,2016,3,7.3
C071,2016,4,9.7
C071,2016,5,13.1
C071,2016,6,15.4
C071,2016,7,17.6
C071,2016,8,19.2
C071,2016,9,17.8
C071,2016,10,14.9
C071,2016,11,9.9
C071,2016,12,10.7
C0EC,2016,1,10.9
C0EC,2016,2,9.4
C0EC,2016,3,9.4
C0EC,2016,4,12.1
C0EC,2016,5,15.5
C0EC,2016,6,17.9
C0EC,2016,7,19.8
C0EC,2016,8,20.5
C0EC,2016,9,19.1
C0EC,2016,10,14.8
C0EC,2016,11,10.6
C0EC,2016,12,10.4
C0DE,2016,1,10.7
C0DE,2016,2,9.6
C0DE,2016,3,9.9
C0DE,2016,4,12.5
C0DE,2016,5,16.1
C0DE,2016,6,18.8
C0DE,2016,7,20.5
C0DE,2016,8,21.0
C0DE,2016,9,19.4
C0DE,2016,10,15.0
C0DE,2016,11,11.1
C0DE,2016,12,9.9
C017,2016,1,10.2
C017,2016,2,8.7
C017,2016,3,8.9
C017,2016,4,12.6
C017,2016,5,15.8
C017,2016,6,17.9
C017,2016,7,20.0
C017,2016,8,20.8
C017,2016,9,19.2
C017,2016,10,15.2
C017,2016,11,10.9
C017,2016,12,10.8
C0F4,2016,1,10.9
C0F4,2016,2,9.5
C0F4,2016,3,10.0
C0F4,2016,4,12.7
C0F4,2016,5,16.1
C0F4,2016,6,18.4
C0F4,2016,7,20.7
C0F4,2016,8,21.0
C0F4,2016,9,19.5
C0F4,2016,10,15.1
C0F4,2016,11,10.7
C0F4,2016,12,9.8
C0D1,2016,1,8.8
C0D1,2016,2,8.0
C0D1,2016,3,8.2
C0D1,2016,4,10.9
C0D1,2016,5,15.0
C0D1,2016,6,17.9
C0D1,2016,7,19.6
C0D1,2016,8,20.4
C0D1,2016,9,18.8
C0D1,2016,10,13.7
C0D1,2016,11,9.2
C0D1,2016,12,7.3
C043,2016,1,9.9
C043,2016,2,8.9
C043,2016,3,9.1
C043,2016,4,12.3
C043,2016,5,15.8
C043,2016,6,18.7
C043,2016,7,20.7
C043,2016,8,21.4
C043,2016,9,19.7
C043,2016,10,15.3
C043,2016,11,10.6
C043,2016,12,9.6
C0D2,2016,1,9.3
C0D2,2016,2,8.3
C0D2,2016,3,8.6
C0D2,2016,4,11.2
C0D2,2016,5,15.3
C0D2,2016,6,18.3
C0D2,2016,7,20.2
C0D2,2016,8,21.0
C0D2,2016,9,19.3
C0D2,2016,10,14.5
