code,year,month,helada_dias
C057,2016,4,0
C057,2016,5,0
C057,2016,6,0
C057,2016,7,0
C057,2016,8,0
C057,2016,9,0
C057,2016,10,0
C057,2016,11,0
C057,2016,12,0
C063,2016,1,3
C063,2016,2,4
C063,2016,3,1
C063,2016,4,1
C063,2016,5,0
C063,2016,6,0
C063,2016,7,0
C063,2016,8,0
C063,2016,9,0
C063,2016,10,0
C063,2016,11,0
C063,2016,12,0
C046,2016,1,2
C046,2016,2,8
C046,2016,3,9
C046,2016,4,1
C046,2016,5,0
C046,2016,6,0
C046,2016,7,0
C046,2016,8,0
C046,2016,9,0
C046,2016,10,0
C046,2016,11,0
C046,2016,12,0
C0BA,2016,1,0
C0BA,2016,2,1
C0BA,2016,3,0
C0BA,2016,4,0
C0BA,2016,5,0
C0BA,2016,6,0
C0BA,2016,7,0
C0BA,2016,8,0
C0BA,2016,9,0
C0BA,2016,10,0
C0BA,2016,11,0
C0BA,2016,12,0
C059,2016,1,3
C059,2016,2,3
C059,2016,3,0
C059,2016,4,1
C059,2016,5,0
C059,2016,6,0
C059,2016,7,0
C059,2016,8,0
C059,2016,9,0
C059,2016,10,0
C059,2016,11,0
C059,2016,12,4
C072,2016,1,3
C072,2016,2,4
C072,2016,3,5
C072,2016,4,1
C072,2016,5,0
C072,2016,6,0
C072,2016,7,0
C072,2016,8,0
C072,2016,9,0
C072,2016,10,0
C072,2016,11,1
C072,2016,12,2
C0B4,2016,1,0
C0B4,2016,2,2
C0B4,2016,3,0
C0B4,2016,4,1
C0B4,2016,5,0
C0B4,2016,6,0
C0B4,2016,7,0
C0B4,2016,8,0
C0B4,2016,9,0
C0B4,2016,10,0
C0B4,2016,11,0
C0B4,2016,12,3
C054,2016,1,9
C054,2016,2,7
C054,2016,3,5
C054,2016,4,4
C054,2016,5,2
C054,2016,6,0
C054,2016,7,0
C054,2016,8,0
C054,2016,9,0
C054,2016,10,3
C054,2016,11,4
C054,2016,12,10
C042,2016,1,0
C042,2016,2,0
C042,2016,3,0
C042,2016,4,0
C042,2016,5,0
C042,2016,6,0
C042,2016,7,0
C042,2016,8,0
C042,2016,9,0
C042,2016,10,0
C042,2016,11,0
C042,2016,12,0
C0B9,2016,1,0
C0B9,2016,2,2
C0B9,2016,3,0
C0B9,2016,4,0
C0B9,2016,5,0
C0B9,2016,6,0
C0B9,2016,7,0
C0B9,2016,8,0
C0B9,2016,9,0
C0B9,2016,10,0
C0B9,2016,11,0
C0B9,2016,12,3
C0C3,2016,1,2
C0C3,2016,2,2
C0C3,2016,3,0
C0C3,2016,4,1
C0C3,2016,5,0
C0C3,2016,6,0
