code,year,month,viento_media_velocidades_maximas
C016,2017,7,43.1
C016,2017,8,39.9
C016,2017,9,33.6
C016,2017,10,26.5
C016,2017,11,30.4
C016,2017,12,36.4
C025,2017,1,40.4
C025,2017,2,61.8
C025,2017,3,49.7
C025,2017,4,43.1
C025,2017,5,38.2
C025,2017,6,43.8
C025,2017,7,46.9
C025,2017,8,44.3
C025,2017,9,39.3
C025,2017,10,37.3
C025,2017,11,45.6
C025,2017,12,54.2
C034,2017,1,26.9
C034,2017,2,38.6
C034,2017,3,34.2
C034,2017,5,31.6
C034,2017,6,33.3
C034,2017,7,35.6
C034,2017,8,32.8
C034,2017,9,29.5
C034,2017,10,24.7
C034,2017,11,28.8
C034,2017,12,35.6
C0AA,2017,1,33.5
C0AA,2017,2,45.6
C0AA,2017,3,39.2
C0AA,2017,4,35.7
C0AA,2017,5,37.1
C0AA,2017,6,35.6
C0AA,2017,7,39.2
C0AA,2017,8,36.8
C0AA,2017,9,31.8
C0AA,2017,10,28.6
C0AA,2017,11,31.4
C0AA,2017,12,35.5
C067,2017,1,28.5
C067,2017,2,40.5
C067,2017,3,35.3
C067,2017,4,32.5
C067,2017,5,33.2
C067,2017,6,28.1
C067,2017,7,28.9
C067,2017,8,30.0
C067,2017,9,25.4
C067,2017,10,28.3
C067,2017,11,28.7
C067,2017,12,31.7
C040,2017,1,34.9
C040,2017,2,50.8
C040,2017,3,44.8
C040,2017,4,39.5
C040,2017,5,40.3
C040,2017,6,39.9
C040,2017,7,44.1
C040,2017,8,40.9
C040,2017,9,35.2
C040,2017,10,28.8
C040,2017,11,32.7
C040,2017,12,44.3
C048,2017,1,57.6
C048,2017,2,65.2
C048,2017,3,58.0
C048,2017,4,51.3
C048,2017,5,50.4
C048,2017,6,47.8
C048,2017,7,46.7
C048,2017,8,49.6
C048,2017,9,43.2
C048,2017,10,45.6
C048,2017,11,53.4
C048,2017,12,66.0
C068,2017,1,41.9
C068,2017,2,57.2
C068,2017,3,50.7
C068,2017,4,49.5
C068,2017,5,51.4
C068,2017,6,51.1
C068,2017,7,56.1
C068,2017,8,52.7
C068,2017,9,42.3
C068,2017,10,39.6
C068,2017,11,39.3
