northing,easting,zone
"4781132,52","524996,2902",30
"4784920,336","521943,2598",30
"4784840,839","521863,7004",30
"4784708,734","521402,6676",30
"4785723,382","522567,5406",30
"4785723,382","522567,5406",30
"4786610,945","521307,1556",30
"4786610,945","521307,1556",30
"4785556,04",521716,30
"4785472,03","521409,28",30
"4785549,36","521412,11",30
"4797535,303","539342,5533",30
"4796245,736","538837,7164",30
"4798453,722","539284,2412",30
"4797338,519","539592,2751",30
"4797340,342","539612,2372",30
"4797429,617","539335,2673",30
"4797140,438","539399,0227",30
"4795790,254","540637,0532",30
"4798040,13","540025,4029",30
4798983,540029,30
"4797201,89","539400,22",30
"4777781,029","505373,6548",30
"4778031,863","504866,4298",30
"4777782,43","505374,872",30
,,30
,,30
"4777992,829","505603,5613",30
"4777937,031","505090,7631",30
"4790299,606","505873,02",30
"4777813,283","505621,8163",30
"4777652,622","505298,9941",30
"4778382,901","517122,933",30
"4778393,837","516933,4221",30
"4778448,84","517131,0837",30
"4778396,534","516404,7387",30
"4788326,53","509119,55",30
,,30
"4778448,84","517131,0837",30
"4799446,761","541952,4847",30
"4799438,438","541685,9974",30
"4758857,023","548980,7065",30
"4758857,023","548980,7065",30
"4758857,023","548980,7065",30
"4778448,84","517131,0837",30
"4778448,84","517131,0837",30
"4777979,024","517092,8548",30
,,30
"4774255,185","518571,4592",30
"4774033,497","518874,1173",30
,,30
,,30
"4774697,137","518435,5492",30
,,30
"4774156,145","518401,6627",30
"4774668,794","518344,0043",30
"4774400,35","518284,3739",30
"4774776,674","519001,3663",30
"4772290,539","517227,0032",30
"4774759,184","518472,4751",30
"4773828,72","518932,0499",30
"4773819,447","518942,6684",30
"4774235,125","518565,7345",30
"4774072,126","518892,7213",30
"4774700,529","519040,7837",30
"4774523,057","518713,0121",30
"4774514,956","518710,9222",30
"4774570,999","518494,9",30
"4774819,19","518472,6456",30
,,30
"4774030,924","518903,7214",30
"4774158,203","518572,869",30
"4780267,184","506388,5129",30
"4780159,424","506414,8734",30
"4779781,28","506574,1074",30
"4779598,094","506855,1133",30
"4780315,521","506564,871",30
"4779063,263","506559,594",30
"4781712,696","504124,4679",30
"4780606,222","507165,105",30
"4779417,314","506313,6086",30
"4779425,418","507176,1585",30
"4778849,41","505706,8426",30
"4782135,626","504862,0936",30
"4779726,186","506465,1452",30
"4781022,24","505688,0826",30
"4779332,333","506208,2281",30
"4780305,493","506388,5631",30
"4780344,188","506355,5528",30
"4779232,009","505906,8051",30
,,30
"4780686,806","507075,3453",30
"4782393,357","505351,322",30
"4780386,349","506972,7632",30
"4780286,116","506961,6946",30
