_id,URTEA/ANIO,JARDUERA_ZENBAKIA/NUM_ACTUACION,ALTA_DATA/FECHA ALTA,ERABILTZAILEA_EU/USUARIO_EU,ERABILTZAILEA_CAS/USUARIO_CAS,UDALERRIA/MUNICIPIO,HELBIDEA/DIRECCION,ESPEZIE/ESPECIE,KOKALEKUA/UBICACION,ALTUERA/ALTURA,DIAMETROA/DIAMETRO,longitude,latitude,EGOERA_EU/ESTADO_EU,EGOERA_CAS/ESTADO_CAS,ITXIERA_DATA/FECHA CIERRE,ITXIERAKO AGENTEA_EU/AGENTE CIERRE_EU,ITXIERAKO AGENTEA_CAS/AGENTE CIERRE_CAS
38,2019,2031,2019-11-11 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GAZTELUA AUZOA 10  ,AVISPA ASIÁTICA,ARBOLADO,6,30,"532501,8514","4778296,808",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-11-13 00:00:00,BASALAN,BASALAN
40,2018,4023,2018-11-23 00:00:00,BASALAN,BASALAN,ABADIÑO,GEREDIAGA 1 BAJO,AVISPA ASIÁTICA,ARBOLADO,1,15,"","",TALDEAREN ZAIN,PENDIENTE DE GRUPO,,UDALA,AYUNTAMIENTO
41,2018,3555,2018-10-29 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GAZTELUA 12 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,6,5,"532636,1567","4777892,418",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-10-30 00:00:00,BASALAN,BASALAN
42,2018,3384,2018-10-22 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,SOLOZABAL 1 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,1,4,"531864,816","4777647,466",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-10-23 00:00:00,BASALAN,BASALAN
43,2018,3289,2018-10-17 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ASTOLA ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,10,40,"531503,8284","4778199,942",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-02-11 00:00:00,BASALAN,BASALAN
44,2018,3261,2018-10-16 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ASTOLA 2 ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,3,6,"531477,1459","4779163,031",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-10-19 00:00:00,BASALAN,BASALAN
45,2018,2795,2018-09-27 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MUNTSARATZ 46 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,1,20,"532197,8483","4776770,573",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-01-10 00:00:00,BASALAN,BASALAN
46,2018,2606,2018-09-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MUNTSARATZ 22 ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,4,50,"532275,8939","4776866,603",ITXITA - EZIN DA EZABATU,CERRADA - NO ELIMINABLE,2018-09-20 00:00:00,BASALAN,BASALAN
47,2018,2605,2018-09-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ABADIÑOBEASKOA 8 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,8,30,"531538,2341","4778244,112",ITXITA - EZIN DA EZABATU,CERRADA - NO ELIMINABLE,2018-09-21 00:00:00,BASALAN,BASALAN
48,2018,2604,2018-09-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ARZUBIA 16 ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,1,30,"531216,6956","4779313,656",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-09-20 00:00:00,BASALAN,BASALAN
